docID,length,text
50,79,"Donald Trump oo markale lagu dhagan yahay. Afhayeenka aqalka Kongreska ee dalka Mareykanka, Nancy Pelosi ayaa sheegtay inay hirgelin doonta guddi ka madaxbanana gollahaas oo baaritaan ku sameyn doonaa weerarkii horraantii bishii Janaayo ee sanadkan lagu qaaday aqalka Capitol, weerarkaas oo ay qaadeen taageerayaasha madaxweyne Trump Warqad ay u qortay xildhibaanada aqalkaas ayay Pelosi ku sheegtay in guddigaas uu u shaqeyn doona oo uu baaritaanka u sameyn doona si lamid ah sidii weerarkii labaatan sano kahor lagu qaaday daarihii dhaadheeraa ee ganacsiga ee dalka Mareykanka."
51,86,"W﻿arar dheeraad ah oo ka soo kordhay toogashadii lagu dhaawacay Imran Khan. Raysal wasaaraha Pakistan Shehbaz Sharif ayaa ka codsaday madaxa cadaaladda Umar Atta Bandyal inuu sameeyo guddi dhamaystiran oo baara eedeymaha Imran Khan ee ah in xubna sarsare oo dowladdaq ka tirsan ay soo maleegeen isku day khaarijin isaga ka dhan ah Shahbaz Sharif ayaa sheegay in haddii codsigan maanta la aqbali waayo ay su’aalahaasi sii socon doonaan xilliyada soo socda, islamarkaana wararkan uu dhammaan doono oo kali ah marka xaqiiqada laga soo saaro maxkamadda."
52,77,"Hadalkii carada dhaliyay ee uu hadda ka hor Soomaalida u jeediyay madaxweynaha maanta loo dhaariyay Kenya. Madaxweynaha cusub ee Kenya William Ruto, oo maanta xilka loo dhaariyay, waxa uu muddo dheer ka mid ahaa siyaasiyiinta saameynta badan ee ka hadla arrimaha Soomaalida Ka hor inta aysan dhicin doorashada uu ku hantay kursiga ugu sarreeya Kenya, waxa uu ololihiisa qeyb weyn uga dhigay soo-jiidashada Soomaalida oo uu arrimo dhowr ah u ballan-qaaday, si uu codkooda u kasbado."
53,86,"Ciyaaryahankii xulka Soomaaliya ee cunta kariyaha isu badelay. Muxyaddiin Cambar Khamiis oo ay da'diisu tahay 60-dameeyo wuxuu ahaa ciyaartooy hore oo kooxa badan oo dalka Soomaaliya ka jiray u soo ciyaaray kooxahaasi oo ay ka mid aheed xulkii qaranka xiligii nabdda Haddana wuxuu ku sugan yahay magaalada Nairobi ee dalka Kenya isaga oo howlihi ciyaaraha iska joojiyey daruufo jiro awgood wuxuuna hadda noolal maalmeedkiisa uu ka raadsadaa cunta karinta iyada oo xafladaha sida aroosyada, martiqaadyada, iwm ah looga yeero si uu cuntooyinka ugu kariyo."
54,93,"Xildhibaan shir jaraa`id ku shaaciyay inuu furayo xaaskiisa kaddib markii ay xisbi kale ku biirtay. Xiriirka tobanka sano jirsaday ee lammaane siyaasiyiin ah oo ku nool gobolka Galbeedka Bengal ee Hindiya ayaa qabsaday warbaahinta kaddib markii xaasku ay ku biirtay xisbi kale, isaguna uu dadweynaha hortooda ugu hanjabay inuu furayo Talaadadii, Saumitra Khan, oo ah xildhibaan ka tirsan xisbiga Ra`iisul Wasaare Narendra Modi ee Bharatiya Janata Party (BJP), ayaa ogeysiis furriin a u diray xaaskiisa, Sujata Mondal Khan, maalin kaddib markii ay ku biirtay xisbiga hayaha talada maamulka gobolka ee Trinamool Congress Party (TMC)"
55,83,"Warkii toddobaadkan ugu wanaagsanaa caalamka ee dad badan ka farxiyay. Muddo tobannaan sano ah, caabuqa cudurka Ebola ayaa cabsi badan ku hayay dad badan oo ku nool caalamka, tira yar oo uu cudurkaas ku dhacay ayaa ka badbaaday Balse hadda waxaa muuqata in taas ay is badeshay, ka dib markii seynisyahanada ay ku dhawaqeen talaal tijaabo ah oo la siinayo dadka qaba cudurka Ebola ee ku sugan dalka Jamhuuriyadda Dimuqraadiga ee Congo, waxayna taas sare u sii qaaday rajadii laga qabay in dadka qaba cudurka Ebola ay ka badbadaan."
56,91,"Maxay tahay sababta dalalka Afrika ay u iibsanayaan drones-ka Turkiga?. Dowladaha Afrika ayaa si aad ah u iibsanaya diyaaradaha aan duuliyaha lahayn (drones) ee Turkiga lagu farsameeyo si ay ula dagaallamaan kooxaha hubaysan, kaddib markii la ogaaday in diyaaradahan ay muhiim u yihiin colaadaha kala duwan ee adduunka, sida uu qoray falanqeeyaha lagu magacaabo Paul Melly Ka hor inta aysan Ukraine dalalka Reer Galbeedka siin hubka culus, waxaa jiray hal hub oo ay dowladda Kyiv u adeegsan jirtay iska difaacidda Ruushka, kaasi oo ahaa diyaaradaha aan duuliyaha lahayn ee Bayraktar TB2"
57,71,"Cusaama Bin Laadin: Muxuu Mareykanka uga walaacay diyaaraddiisii ku burburtay guriga Cusaama Bin Laadin. Mareykanka ayaa ka walaacay in laga helo xog muhiim ah oo ku saabsan mid ka mid ah diyaaradihii loo adeegsaday weerarkii lagu dilay hoggaamiyihii hore ee ururka al-Qaacida Dowladda Pakistan ayaa laga yaabaa inay militariga Shiinaha u fasaxday howlgal ay ku basaasayeen diyaaraddii ay ciidamada Mareykanka ku tageen goobta uu dagganaa Cusaama Bin Laadin ee halkaas ku burburtay, sida ay wararka qaar sheegeen."
58,71,"Sawir silloon oo laga qaaday madaxweyne hore iyo ka haatan ee Maraykanka iyo xaasadkooda. Sawirkan silloonka ah ee laga qaaday madaxweynaha haatan ee Maraykanka oo booqasho ugu tagay madaxweynihii 39-aad ee Maraykanka ayaa buuq ka abuuray baraha bulshada Sawirku wuxuu muujinayaa Joe Bidhen iyo afadiisa Jill oo shiiqiyey madaxweynihii hore Jimmy Carter iyo marwadii koobaad ee hore Rosalynn Carter, waxaana todobaadkii hore lagaga qaaday gurigooda oo ku yaal magaalada Plains ee gobolka Georgia"
59,88,"Nin baabuur iyo guri ka iibsaday xanaaneynta neylaha iyo waxaraha. ""Ari raacidda waxaan ka helay nolol wanaagsan, ari raacidda waan ka macaashay oo waxaan ka dhistay guri qiimahiisu lagu qiyaasay in ka badan 7000 kun oo doolar ilaa in ka badan 9000 kun oo doolar, sidoo kale waxaan ka iibsaday baabuur, waa dhaqaalaha aan ka helay ari raacidda"", ayuu yiri Ravi Hirasingh Rajput oo dadka xoolaha ugu raaco deegaan ku yaalla dalka Hindiya Ravi Hirasingh Rajput wuxuu ariga u raacayay dadka 13 sano ee lasoo dhaafay, wuxuu ku noolyahay tuulada Pal ee dhacda degmada Aurangabad ee dalka Hindiya."
60,55,"Maxaa keenay in uu kordho dalabka cuntada xalaasha ah ee adduunka?.. ""Anigu xalaal uun baan cunaa, kumana raaxaysto sidaoo kalena kama dhergo cunnada haddii aanay calaamad xalaal in ay tahay sheegaysaa ku oollin"" Ayay Marwa ku tilmaantay waxa ugu mudan ee ay ku xulato marka ay rabto in ay soo iibsato cuntada ay u baahan tahay."
61,58,"Imaam u dhintay la dagaallanka cunsuriyad. Qaraabada iyo asxaabta imaam la dilay 50 sano ka hor, xilli uu ka hortagayay cunsuriyadda South Afrika, waxay weli la murugsan yihiin geeridiisa, sida ay qortay weriyaha BBC, Penny Dale Laba arrin oo muhiim ah ayaa ka dhacay magaalada Cape Town ee Koonfur Afrika, 29kii bishii September 1969"
62,86,"Kenya iyo 12 waddan oo kale oo wajahaya khatarta burburisay dowladdii Sri Lanka. Sri Lanka ayaa mar ka mid ahayd dalalka ugu dhaqaalaha iyo farxadda badan waddamada qaaradda Aasiya, balse haatan waxaa ay ku jirtaa dhibaatooyin dhaqaale oo ah kuwii ugu xumaa tan iyo markii uu dalkani qaatay xoriyadda Sri Lanka dhowr jeer ayaa muddo loo qabtay in ay kusoo guddo deymaha lagu leeyahay laakiin qiimaha sarrifka oo hooseeya ayaa keentay in ay bixin waayaan deynta, waxaana ugu danbeyn ay ku dhawaaqday dowladdu in aysan awoodin."
63,79,"Trump iyo Biden oo yeeshay dooddii ugu kululeed. Madaxweyne Donald Trump iyo musharraxa doorashada kula loollamaya ee Joe Biden ayaa yeeshay dooddi ugu kululeed oo muddo sanadaha ah laba musharax oo aqalka cad ee Mareykanka looga arrimiyo u tartameyso dhexmarta Labada dhinac oo ay wajiyadooda ka muuqatay xanaaq iyo caro, doodda ugu adag waxay ku dhexmartay arrima ay ka mid yihiin cudurka safmarka ee faayraska corona, dhaqaalaha, mudaharaadyada rabshadaha watay ee dalkaasi ka dhacay iyo arrima la xidhiidha qoysaskooda."
64,65,"Khilaafka doorashada: Go'aanka Midowga Afrika muxuu uga dhiganyahay dowladda Soomaaliya?. Golaha nabadda iyo ammaanka Midowga Afrika waxa ay ku baaqeen in ergay gaar ah oo ka socda ururka loo magacaabo ismari-waaga doorashada ee hadda ka taagan Soomaaliya, si uu isgu keeno dhinacyada Soomaalida Ka dib kulankii ay shalay yeesheen ee ku saabsanaa arrimaha Soomaaliya, waxay xalay soo saareen war-murtiyeed ay ku qeexayaan mowqifkooda ku aadan doorashada Soomaaliya.."
65,86,"Warqad Afrika ka timid: 'Waxaan ka quustay inaan raaco tareenka Itoobiya'. Warqadaha taxaha ah ee inaga soo gaaraya weriyayaasha Afrika, ayuu Ismaaciil Einashe waxa uu wax ka qoray iskudaygiisa dhicisoobay ee uu ku doonayay inuu ku raaco tareenka Itoobiya, walow tareenkan uu yahay mid caan ah oo cusub oo uu Shiinuhu dhisay Caasimadda Itoobiya ee Addis Ababa, waa ay adag tahay inaad ku arki wayso taboolooyinka waa weyn ee xayeysiinta ah ee ku dhinac dheggan waddooyinka iyo isgoysyada ee ay ku qoran yihiin ""tareen cusub, nolol cusub""."
66,53,"Waa kuma Janaraal Cabdi Fattax Al-Burhan oo isu magacaabay in uu yahay madaxwaynaha Sudan?. Taliyaha ciidamada Sudan, Janaraal Cabdifatax Al-Burhan, ayaa soo saaray wareegto dastuuri ah oo lagu dhisayo gole cusub oo madax banaan oo dalkaas maamula, sida uu sheegay telefishinka Sudan Banaanbax looga soo horjeedo wareegtada ayaa ka dhacay magaalada Khartoum."
67,51,"Doorashada Nigeria 2023: Tirinta codadka oo socota. Tirinta codadka ayaa ka socota Nigeria kaddib doorashadii madaxtinnimo ee ugu adkeyd tan iyo markii uu dhammaaday xukunkii militariga sanadkii 1999 Dadka u soo baxay codeynta ayaa aad u badan, iyadoo da’yar badan, markoodii ugu horreysay codeynaya ay goobaha codbixinta sii tageen aroor hore."
68,101,"Wararkii ugu dambeeyey doorashada musharaxiinta Ra’isalwasaaraha Britain. Xubnaha xisbiga Conservative-ka ugu jira Baaralamaanka UK ayaa goor dhaweyd ay u bilaabatay codeyntii ugu dambeysay oo laba wareeg ka kooban oo ay ku kala xulanayaan afarta nin ee isagu soo haray tartanka hogaamiyaha xisbigaas isla markaana noqonaya Ra'isalwasaaraha badalaya Mrs Theresa May oo xafiiska ka tagayesa 313 xildhibaan ayaa codeynta ka qayb qaadanaya waxaana marka hore saddex laga soo reebi doonaa afarta nin oo kala ah Boris Johnson, Sajid Javid, Miceal Gove iyo Jeremy Hunt, iyadoo natiijadaasi soo bixi doonto saacadda Afrikada Bari marka ay tahay 3-da galabnnimo."
69,60,"Reynhard Sinaga: Sida ninkan u ugaarsaday dhibbaneyaasha uu Manchester ku kufsaday. DIGNIIN: Warbixintan waxaa ku jira haddallo ay suuragal tahay in aad dhibsato Reynhard Sinaga waxaa la rumeysan yahay in uu yahay ninka geystay ""Tirada ugu badan ee kufsi ee ka dhacay UK"" abid Muddo sanado ah ayuu waday kufsigaas, waxaana la qabtay 2017-kii."
70,67,Maxkamadda sare ee Hindiya oo Amar dul-dhigtay haweeneydii Nabiga (NNKH) aflagaadeysay. Maxkamadda sare ee dalka Hindiya ayaa amar ku bixisay in afhayeenki hore ee Xisbiga BJP Nupur Sharma ay telefishinka qaranka ee dalkaas iyadoo ka soo muuqaneysa ay raalligelin rasmi ah ka bixiso aflagaaddadi ay Nabiga (NNKH) u geysatay Maxkamadda sare ee dalka Hindiya oo maanta dhageysatay dacwadda aflagaaddadii ay Nabi Muxammed (NNKH) u geysatay haweeneydaas ayaa bixisay amar aysan Sharma ku farxin.
71,88,"UK: Garoonkii ugu horreeyay ay kusoo degaan baabuurta duusha oo la furayo. Garoonkii ugu horreeyay ee dunida laga hirgeliyo kaas oo ay kusoo degi doonaan baabuurta duusha iyo diyaaradaha Drones-ka korontada ku shaqeeya ayaa laga furay dalka UK, haddii ay guul ku dhammaato arrintani waxaa dhici kartaa in dunida laga dhiso kumanaan kale oo garoonka ah Garoonkan waxaa laga dhisay magaalada Coventry, waxaana loogu talagalay inay ku degaan ama ka kacaan diyaaradaha aan duuliyaha lahayn ee korontada ku shaqeeya iyo tagaasida duusha, garoonkana laftiisa wuxuu ku shaqeeya unugyo shidaal maadada Haydarojiin ah."
72,77,"Loolanka la xiriira in la bedelo Kimikooyiin ku jira maacuunta aan wax ku karsano iyo dharka ee halista ah. Weligaa ma isweydiisay sababta aysan cuntada ugu dhegin digsiga, sababta dufanka uusan uga soo bixin mikrowave-ka, ama sababta aysan biyaha u qoynin noocyo ka mid ah jaakadaadaha? Waa kiimikooyin macmal ah oo laga yaabo in ay ku jiraan qalabkan guriyaha aan ku isticmaalno sida maacuunta Kimikooyinkan waxay ku jiraan waxyaabo kala duwan sida maacuunta aan guriyaha ku isticmaalno iyo xitaa dharka.."
73,71,"Qadar ma u suurtagaleysaa in ay iibsato Manchester United?. Taageerayaasha kooxda Manchester United iyo dad kale ee xiiseeya kubadda cagta waxay ka dhuur sugayaan cidda iibasan doonto kooxda xilli lagu sii siqayo wakhtiga kama dambeysta ah ee dadka daneynaya inay iibsadaan kooxdan ay ku gudbisan karaan dalabdkooda Milkiilayaasha kooxda Man United, ee Glazer family waxay ku rajo weyn yihiin inay iska iibiyaan kooxda xilli ay isha ku hayaan inay qaadaan tallaabooyin kale oo dhanka istaraatiijiyadda ah."
74,55,"D﻿haqaatiirta oo ka walaacsan xaaladda caafimad ee boqorad Elizabeth. Qasriga Buckingham Palace ee Magaalada London oo war kooban soo saaray ayaa sheegay in caafimadka boqorod Elizabeth ay dhaqaatiirtu walaac ka muujinayaan, iyagoo ku taliyay in howlwadeenadda caafimaadku la socdaan xaaladeeda Boqoradda oo da’deedu tahay 96 sano jir ayaa dhaqaatiirtu sheegeen in aaney xaaladeedu darneyn."
75,75,"Booliska Nigeria oo la sheegay in dadka ay dileen ka badanyihiin inta coronvirus dilay. Hay'adda qaranka ee xuquuqal insaaanka Nigeria ee magaceeda loo soo gaabiyo NHRC , ayaa sheegtay in ciidamada nabad gelyada ee dhaqa gelinaya bandooda Coronavirus tirada dadka ay dileen ka badantahay ta dadka uu dilay cudurku Hay'addu waxay intaa ku dartay in caddaymaha ay haysaa yihiin kuwo ay soo gaadhsiiyeen shacabka oo telefoonnada kula soo xidhiidha xaruntooda iyo muuqaalo ay u soo direen."
